      date    baseMaxValue    baseMinValue    baseDiff    breakMaxValue    breakMinValue    breakTime    breakDiff    keyPoint    direction    maxBonus    maxBonusTime    result    resultTime

2019/03/04           10400           10344          56            10357            10333     09:10:00           24       10341         down          65        10:45:00        25      09:15:00
2019/03/05           10268           10248          20            10279            10257     09:05:00           22       10272           up          34        11:05:00        25      10:55:00
2019/03/06           10304           10282          22            10320            10298     09:05:00           22       10313           up          20        10:40:00        11      11:30:00
2019/03/07           10319           10304          15            10324            10315     09:05:00            9       10321           up          14        09:15:00       -26      09:45:00
2019/03/08           10236           10212          24            10212            10188     09:05:00           24       10196         down          34        09:50:00        25      09:35:00
2019/03/11           10185           10168          17            10195            10183     09:10:00           12       10191           up          34        09:35:00        25      09:30:00
2019/03/12           10327           10300          27            10340            10321     09:25:00           19       10334           up          51        11:10:00        25      09:50:00
2019/03/13           10332           10322          10            10345            10327     09:05:00           18       10339           up           8        11:30:00       -26      09:40:00
2019/03/14           10392           10370          22            10378            10363     09:15:00           15       10368         down          34        11:30:00        25      10:45:00
2019/03/15           10363           10347          16            10367            10357     09:15:00           10       10364           up          66        11:05:00        25      09:35:00
2019/03/18           10440           10425          15            10448            10424     09:05:00           24       10440           up          34        11:00:00        25      10:35:00
2019/03/19           10492           10477          15            10486            10474     09:05:00           12       10478         down          17        10:00:00       -26      11:30:00
2019/03/20           10510           10492          18            10525            10508     09:05:00           17       10520           up          13        11:05:00        -7      11:30:00
2019/03/21           10554           10532          22            10564            10549     09:20:00           15       10559           up          28        10:50:00        25      10:50:00
2019/03/22           10652           10639          13            10654            10633     09:05:00           21       10640         down          80        11:05:00        25      10:10:00
2019/03/25           10479           10456          23            10459            10445     09:05:00           14       10449         down          14        09:10:00       -26      10:00:00
2019/03/26           10501           10480          21            10514            10497     09:05:00           17       10509           up          29        09:40:00        25      09:20:00
2019/03/27           10513           10486          27            10499            10476     09:15:00           23       10483         down          10        09:20:00       -26      09:45:00
2019/03/28           10476           10444          32            10499            10472     09:05:00           27       10490           up          21        10:55:00       -26      09:30:00
2019/03/29           10568           10536          32            10540            10516     09:05:00           24       10524         down          48        09:25:00        25      09:15:00


total:	148

