date,open,high,low,close,volume
2019/01/02,9760,9762,9506,9536,165919
2019/01/03,9488,9547,9433,9440,130686
2019/01/04,9367,9410,9305,9367,168604
2019/01/07,9541,9588,9490,9563,144918
2019/01/08,9600,9611,9532,9561,120571
2019/01/09,9608,9755,9602,9708,160579
2019/01/10,9710,9713,9673,9694,95996
2019/01/11,9760,9803,9724,9750,131199
2019/01/14,9738,9756,9660,9691,111772
2019/01/15,9743,9817,9715,9793,132371
2019/01/16,9781,9804,9755,9784,57162
2019/01/17,9777,9834,9721,9779,142681
2019/01/18,9825,9846,9770,9820,115258
2019/01/21,9885,9919,9856,9866,119813
2019/01/22,9841,9868,9822,9847,93372
2019/01/23,9830,9860,9807,9818,106247
2019/01/24,9833,9884,9820,9863,104490
2019/01/25,9928,9989,9911,9968,116391
2019/01/28,10000,10018,9975,9985,81401
2019/01/29,9932,9936,9880,9923,113689
2019/01/30,9925,9956,9896,9926,83952
2019/02/11,10010,10067,9966,9999,101414
2019/02/12,10049,10093,10029,10084,77940
2019/02/13,10125,10128,10055,10084,96268
2019/02/14,10044,10124,10034,10080,96528
2019/02/15,10040,10116,10022,10042,111580
2019/02/18,10111,10161,10098,10135,96852
2019/02/19,10123,10158,10104,10142,71591
2019/02/20,10183,10262,10177,10256,68057
2019/02/21,10255,10327,10232,10324,97327
2019/02/22,10272,10312,10245,10310,87939
2019/02/25,10350,10378,10324,10368,104871
2019/02/26,10381,10394,10336,10355,100522
2019/02/27,10375,10384,10325,10362,83415
2019/03/04,10390,10400,10276,10311,122683
2019/03/05,10260,10306,10248,10274,97388
2019/03/06,10283,10333,10282,10322,90566
2019/03/07,10315,10335,10260,10262,95909
2019/03/08,10230,10244,10162,10200,127865
2019/03/11,10170,10234,10168,10229,78112
2019/03/12,10301,10385,10300,10348,109094
2019/03/13,10325,10365,10305,10365,99791
2019/03/14,10390,10392,10322,10338,92014
2019/03/15,10355,10430,10347,10414,105842
2019/03/18,10437,10487,10420,10477,80996
2019/03/19,10483,10511,10461,10501,73231
2019/03/20,10493,10549,10492,10545,49292
2019/03/21,10538,10593,10532,10590,90646
2019/03/22,10645,10659,10560,10613,107628
2019/03/25,10478,10486,10423,10438,100109
2019/03/26,10482,10538,10480,10522,87186
2019/03/27,10506,10533,10473,10520,88484
2019/03/28,10450,10515,10444,10493,83359
2019/03/29,10551,10600,10476,10598,128133
2019/04/01,10679,10715,10615,10638,114428
