date,base_max,base_min,break_max,break_min,break_last,direction,break_time,pre_enter_time,pre_enter_direction,pre_enter_point
2019/08/01,10651,10627,10660,10644,10656,up,09:00:00,09:00:00,up,10651
2019/08/02,10535,10509,10532,10508,10508,down,09:10:00,09:02:00,down,10509
2019/08/05,10435,10414,10456,10430,10448,up,09:05:00,09:00:00,up,10435
2019/08/06,10155,10095,10175,10149,10157,up,09:05:00,08:57:00,up,10155
2019/08/07,10352,10325,10375,10347,10374,up,09:05:00,09:00:00,up,10352
2019/08/08,10376,10342,10392,10366,10388,up,09:20:00,08:59:00,down,10342
2019/08/12,10470,10380,10476,10462,10471,up,10:25:00,09:37:00,up,10470
2019/08/13,10397,10381,10398,10367,10367,down,09:10:00,09:04:00,up,10397
2019/08/14,10463,10446,10480,10458,10476,up,09:05:00,09:00:00,up,10463
2019/08/15,10298,10242,10323,10292,10304,up,09:25:00,08:57:00,up,10298
2019/08/16,10317,10291,10340,10312,10339,up,10:10:00,09:02:00,up,10317
2019/08/19,10444,10419,10449,10433,10446,up,09:40:00,09:00:00,up,10444
2019/08/20,10491,10478,10499,10485,10498,up,09:05:00,08:56:00,down,10478
2019/08/21,10524,10505,10527,10514,10526,up,09:10:00,09:00:00,up,10524
2019/08/22,10545,10530,10557,10539,10549,up,09:10:00,09:01:00,up,10545
2019/08/23,10490,10476,10480,10469,10475,down,09:30:00,09:03:00,down,10476
2019/08/26,10353,10321,10327,10306,10306,down,10:10:00,09:03:00,down,10321
2019/08/27,10390,10366,10370,10358,10364,down,10:05:00,08:59:00,down,10366
2019/08/28,10406,10388,10410,10402,10409,up,09:10:00,09:01:00,up,10406
