date,base_max,base_min,break_max,break_min,break_direction,break_time,break_key_point,pre_enter_direction,pre_enter_time,pre_enter,enter_direction,enter_time,enter_point,bonus,bonus_time,max_bonus,max_bonus_time,max_lose,max_lose_time
2019/02/11,10035,10009,10067,10031,up,09:10:00,10055,up,09:09:00,10040,up,09:09:00,10040,2,09:13:00,27,09:10:00,20,09:13:00
2019/02/12,10052,10038,10040,10029,down,09:05:00,10032,down,09:04:00,10033,down,09:04:00,10033,-28,09:56:00,4,09:04:00,33,10:40:00
2019/02/13,10128,10111,10119,10099,down,09:10:00,10105,down,09:09:00,10106,down,09:09:00,10106,31,09:30:00,51,10:23:00,5,09:09:00
2019/02/14,10055,10034,10077,10054,up,09:05:00,10070,up,09:04:00,10060,up,09:04:00,10060,31,09:15:00,64,09:46:00,0,
2019/02/15,10055,10037,10075,10051,up,09:00:00,10067,up,08:59:00,10060,up,08:59:00,10060,31,09:20:00,56,09:31:00,38,10:45:00
2019/02/18,10119,10099,10125,10098,up,09:05:00,10116,up,09:04:00,10124,up,09:04:00,10124,31,09:42:00,37,10:34:00,19,09:16:00
2019/02/19,10125,10104,10134,10115,up,09:00:00,10128,up,08:59:00,10130,up,08:59:00,10130,12,10:45:00,25,09:56:00,7,08:59:00
2019/02/20,10200,10177,10212,10198,up,09:05:00,10208,up,09:04:00,10205,up,09:04:00,10205,31,09:20:00,57,09:46:00,8,10:36:00
2019/02/21,10269,10245,10252,10235,down,09:30:00,10240,down,09:29:00,10240,down,09:29:00,10240,-28,10:42:00,8,09:34:00,30,10:43:00
2019/02/22,10284,10265,10283,10260,down,09:20:00,10267,down,09:20:00,10260,down,09:49:00,10267,2,10:07:00,19,09:56:00,1,10:07:00
2019/02/25,10353,10333,10366,10345,up,09:35:00,10359,up,09:09:00,10358,up,09:36:00,10359,2,09:54:00,19,09:47:00,7,09:37:00
2019/02/26,10388,10369,10372,10356,down,09:35:00,10361,down,09:34:00,10364,down,09:34:00,10364,20,10:45:00,22,10:43:00,23,10:15:00
2019/02/27,10384,10371,10377,10365,down,09:10:00,10369,down,09:09:00,10366,down,09:09:00,10366,31,09:21:00,41,09:21:00,10,09:11:00
