date,base_max,base_min,break_max,break_min,direction,break_time,pre_enter,key_point,enter_time,bonus,bonus_time,max_bonus,max_bonus_time,max_lose,max_lose_time
2019/04/01,10695,10674,10710,10686,up,09:05:00,True,10696,09:01:00,-27,09:15:00,19,09:06:00,33,10:09:00
2019/04/02,10689,10673,10698,10677,up,09:05:00,True,10690,09:01:00,0,11:30:00,14,09:17:00,22,11:01:00
2019/04/03,10710,10681,10713,10702,up,09:00:00,True,10711,08:56:00,-27,09:19:00,17,09:02:00,40,10:03:00
2019/04/08,10781,10747,10785,10770,up,09:45:00,True,10782,09:41:00,2,11:30:00,13,11:15:00,24,10:31:00
2019/04/09,10802,10792,10796,10783,down,09:05:00,True,10791,09:01:00,-27,10:57:00,9,09:17:00,47,11:03:00
2019/04/10,10830,10818,10837,10824,up,09:20:00,True,10831,09:16:00,-1,11:30:00,11,09:32:00,19,09:49:00
2019/04/11,10874,10842,10879,10865,up,09:30:00,True,10875,09:26:00,-27,09:47:00,10,09:32:00,92,11:30:00
2019/04/12,10824,10812,10831,10811,up,09:00:00,True,10825,08:56:00,-27,09:36:00,6,09:00:00,43,11:17:00
2019/04/15,10882,10863,10864,10843,down,09:15:00,True,10862,09:11:00,-27,10:05:00,19,09:15:00,33,10:52:00
2019/04/16,10878,10863,10883,10867,up,09:00:00,True,10879,08:56:00,2,09:38:00,28,09:08:00,12,08:56:00
2019/04/17,10966,10948,10983,10961,up,09:05:00,True,10967,09:01:00,22,11:30:00,26,11:29:00,6,09:01:00
2019/04/18,11024,11008,11035,11011,up,09:05:00,True,11025,09:01:00,-27,10:00:00,14,09:07:00,52,10:15:00
2019/04/19,11031,11017,11021,11006,down,10:00:00,True,11016,,,,,,,
2019/04/22,11030,11006,11016,10998,down,09:30:00,True,11005,09:26:00,33,11:30:00,36,11:26:00,11,09:26:00
2019/04/23,10998,10978,10993,10976,down,09:05:00,True,10977,09:01:00,2,09:45:00,43,09:22:00,16,09:01:00
2019/04/24,11057,11039,11042,11028,down,09:10:00,True,11038,09:06:00,36,11:30:00,44,11:29:00,9,09:18:00
2019/04/25,10995,10982,11004,10994,up,09:25:00,True,10996,09:21:00,27,11:30:00,45,10:24:00,9,09:28:00
2019/04/26,10972,10952,10965,10932,down,09:05:00,True,10951,09:01:00,50,11:22:00,51,11:22:00,14,09:01:00
2019/04/29,10960,10945,10975,10956,up,09:20:00,True,10961,09:16:00,-27,09:45:00,17,09:21:00,59,09:55:00
2019/04/30,10918,10883,10920,10911,up,09:15:00,True,10919,09:11:00,-27,09:47:00,23,10:49:00,34,09:54:00
