date,base_max,base_min,break_max,break_min,direction,break_time,break_key_point,pre_enter,enter_point,enter_time,bonus,bonus_time,max_bonus,max_bonus_time,max_lose,max_lose_time
2019/06/03,10437,10422,10434,10373,down,09:05:00,10393,10417,10417,09:04:00,31,09:04:00,51,09:15:00,37,11:25:00
2019/06/04,10480,10454,10463,10438,down,09:40:00,10446,10449,10449,09:39:00,31,10:13:00,48,10:46:00,5,09:51:00
2019/06/05,10503,10485,10507,10483,down,09:10:00,10491,10508,10508,09:04:00,-27,09:11:00,1,09:04:00,56,11:30:00
2019/06/06,10437,10372,10373,10353,down,10:00:00,10359,10367,10367,09:59:00,-27,10:34:00,10,09:59:00,38,10:35:00
2019/06/10,10485,10465,10493,10474,up,09:00:00,10487,10490,10490,08:59:00,-27,09:15:00,53,11:06:00,48,09:19:00
2019/06/11,10562,10540,10567,10552,up,09:20:00,10562,10535,10535,09:09:00,-27,09:17:00,0,09:09:00,82,11:02:00
2019/06/12,10589,10574,10598,10581,up,09:15:00,10593,10569,10569,09:04:00,-27,09:15:00,5,09:40:00,36,09:25:00
2019/06/13,10564,10551,10567,10535,up,09:05:00,10557,10569,10557,09:46:00,-27,10:01:00,8,09:46:00,60,10:16:00
2019/06/14,10547,10532,10539,10524,down,09:00:00,10529,10527,10527,08:59:00,-27,10:30:00,11,09:01:00,31,10:31:00
2019/06/17,10493,10470,10486,10462,down,09:10:00,10470,10465,10470,09:13:00,-27,09:21:00,3,09:13:00,95,09:46:00
2019/06/18,10552,10534,10559,10549,up,09:00:00,10556,10557,10557,08:59:00,2,09:20:00,19,09:04:00,9,09:01:00
2019/06/19,10689,10667,10693,10673,up,09:15:00,10687,10694,10687,09:16:00,31,09:35:00,40,09:36:00,10,09:19:00
2019/06/20,10581,10567,10583,10571,up,09:55:00,10579,10562,10562,09:04:00,-27,09:59:00,4,09:04:00,43,11:26:00
2019/06/21,10640,10622,10628,10608,down,09:15:00,10614,10617,10617,09:14:00,2,10:12:00,19,10:01:00,15,09:35:00
2019/06/24,10610,10590,10596,10572,down,09:05:00,10580,10585,10585,09:04:00,31,09:22:00,32,09:22:00,62,10:52:00
2019/06/25,10623,10608,10612,10598,down,09:20:00,10602,10628,10628,09:04:00,-27,09:16:00,2,09:04:00,97,11:06:00
2019/06/26,10538,10518,10523,10510,down,09:30:00,10514,10513,10513,09:29:00,0,11:30:00,11,09:47:00,20,10:38:00
2019/06/27,10555,10532,10575,10545,up,09:05:00,10565,10560,10560,09:04:00,31,09:15:00,79,11:30:00,-2,09:04:00
2019/06/28,10623,10607,10613,10593,down,09:20:00,10599,10602,10602,09:09:00,31,09:49:00,43,10:40:00,11,09:16:00
