date,base_max,base_min,break_max,break_min,direction,break_time,pre_enter,key_point,enter_time,bonus,bonus_time,max_bonus,max_bonus_time,max_lose,max_lose_time
2019/07/01,10729,10693,10747,10722,up,09:10:00,False,10739,,,,,,,
2019/07/02,10754,10732,10758,10750,up,09:40:00,False,10756,09:41:00,-4,11:30:00,10,09:46:00,12,11:13:00
2019/07/03,10741,10202,,,,,,,,,,,,,
2019/07/04,10698,10686,10705,10689,up,09:10:00,False,10700,09:11:00,26,09:36:00,27,09:36:00,19,09:14:00
2019/07/05,10725,10707,10726,10720,up,09:00:00,False,10724,09:01:00,1,09:16:00,25,09:05:00,4,09:16:00
2019/07/08,10658,10630,10683,10648,up,09:05:00,False,10672,10:18:00,-26,10:49:00,7,10:42:00,26,10:49:00
2019/07/09,10699,10677,10686,10673,down,09:00:00,False,10677,09:01:00,26,09:21:00,31,09:21:00,5,09:01:00
2019/07/10,10724,10697,10705,10691,down,10:00:00,False,10695,,,,,,,
2019/07/11,10809,10791,10802,10786,down,09:05:00,False,10791,09:06:00,1,09:26:00,19,09:18:00,4,09:08:00
2019/07/12,10812,10788,10815,10798,up,09:25:00,False,10810,09:31:00,1,10:35:00,20,10:10:00,6,09:32:00
2019/07/15,10817,10800,10804,10783,down,09:20:00,False,10790,09:57:00,-26,10:21:00,11,09:57:00,28,10:21:00
2019/07/16,10872,10853,10880,10868,up,09:15:00,False,10876,09:16:00,10,11:30:00,15,09:43:00,15,09:19:00
2019/07/17,10848,10832,10846,10823,down,09:05:00,False,10830,09:17:00,7,11:30:00,25,11:09:00,24,10:00:00
2019/07/18,10639,10623,10648,10634,up,09:00:00,False,10644,09:09:00,26,09:32:00,29,09:32:00,4,09:13:00
2019/07/19,10767,10751,10773,10756,up,09:05:00,False,10768,09:09:00,1,11:06:00,24,10:11:00,8,09:18:00
2019/07/22,10757,10729,10772,10751,up,09:05:00,False,10765,09:08:00,26,10:30:00,29,10:30:00,2,09:34:00
2019/07/23,10830,10818,10827,10806,down,09:20:00,False,10813,09:22:00,26,10:47:00,28,10:47:00,23,10:00:00
2019/07/24,10821,10813,10828,10814,up,09:00:00,False,10824,09:07:00,-26,10:21:00,7,09:14:00,26,10:21:00
2019/07/25,10831,10819,10821,10812,down,09:00:00,False,10815,09:01:00,26,09:06:00,46,09:06:00,9,09:02:00
2019/07/26,10791,10774,10780,10770,down,09:20:00,False,10773,09:21:00,-17,11:30:00,8,09:21:00,22,10:17:00
2019/07/29,10781,10746,10792,10771,up,11:50:00,False,10785,,,,,,,
2019/07/30,10833,10817,10819,10808,down,09:30:00,False,10811,09:31:00,26,09:50:00,26,09:50:00,6,09:33:00
2019/07/31,10725,10708,10731,10706,up,09:00:00,False,10723,09:04:00,-26,10:10:00,16,09:43:00,27,10:10:00
