date,base_max,base_min,break_max,break_min,direction,break_time,key_point,enter_time,bonus,bonus_time,max_bonus,max_bonus_time,max_lose,max_lose_time
2019/08/01,10651,10627,10660,10644,up,09:00:00,10655,09:01:00,26,09:30:00,28,09:30:00,18,09:02:00
2019/08/02,10535,10509,10532,10508,down,09:10:00,10516,09:11:00,26,09:16:00,26,09:16:00,2,09:11:00
2019/08/05,10435,10414,10456,10430,up,09:05:00,10448,09:06:00,-26,09:19:00,12,09:07:00,28,09:19:00
2019/08/06,10155,10095,10175,10149,up,09:05:00,10167,09:06:00,26,09:18:00,28,09:18:00,21,09:12:00
2019/08/07,10352,10325,10375,10347,up,09:05:00,10366,09:06:00,-26,09:12:00,9,09:06:00,26,09:12:00
2019/08/08,10376,10342,10392,10366,up,09:20:00,10384,13:45:00,,,,,,
2019/08/12,10470,10380,10476,10462,up,10:25:00,10472,10:26:00,-26,11:11:00,5,10:27:00,26,11:11:00
2019/08/13,10397,10381,10398,10367,down,09:10:00,10377,09:12:00,26,09:58:00,30,09:58:00,17,09:21:00
2019/08/14,10463,10446,10480,10458,up,09:05:00,10473,09:06:00,-3,09:18:00,19,09:16:00,11,09:10:00
2019/08/15,10298,10242,10323,10292,up,09:25:00,10313,09:26:00,-26,09:31:00,,,31,09:31:00
2019/08/16,10317,10291,10340,10312,up,10:10:00,10331,10:12:00,26,10:49:00,28,10:49:00,,
2019/08/19,10444,10419,10449,10433,up,09:40:00,10444,09:44:00,26,10:42:00,30,10:42:00,15,09:47:00
2019/08/20,10491,10478,10499,10485,up,09:05:00,10495,09:18:00,-1,09:35:00,20,09:21:00,2,09:18:00
2019/08/21,10524,10505,10527,10514,up,09:10:00,10523,09:25:00,-2,10:35:00,19,10:17:00,9,09:56:00
2019/08/22,10545,10530,10557,10539,up,09:10:00,10551,09:11:00,-26,09:55:00,13,09:34:00,26,09:55:00
2019/08/23,10490,10476,10480,10469,down,09:30:00,10472,09:31:00,-26,10:58:00,12,09:35:00,26,10:58:00
2019/08/26,10353,10321,10327,10306,down,10:10:00,10313,10:11:00,-1,10:30:00,19,10:20:00,2,10:11:00
