date,base_max,base_min,break_max,break_min,break_direction,break_time,break_key_point,pre_enter_direction,pre_enter_time,pre_enter,enter_direction,enter_time,enter_point,bonus,bonus_time,max_bonus,max_bonus_time,max_lose,max_lose_time
2020/07/01,11499,11472,11521,11497,up,09:05:00,11505.0,up,09:04:00,11519,up,09:04:00,11519,55,09:28:00,104,12:24:00,9,09:05:00
2020/07/02,11610,11581,11606,11574,down,09:05:00,11595.0,up,09:19:00,11623,down,09:16:00,11595.0,-28,09:19:00,12.0,09:16:00,117.0,12:50:00
2020/07/03,11792,11773,11803,11787,up,09:00:00,11793.0,up,09:04:00,11805,up,09:01:00,11793.0,0,09:02:00,57.0,09:25:00,41.0,09:45:00
2020/07/06,11935,11905,11940,11911,up,09:05:00,11921.0,up,09:09:00,11948,,,,,,,,,
2020/07/07,12153,12135,12159,12140,up,09:00:00,12147.0,up,09:04:00,12187,up,09:07:00,12147.0,0,09:07:00,17.0,09:07:00,157.0,10:02:00
2020/07/08,12055,12030,12075,12025,up,09:05:00,12042.0,up,09:04:00,12068,up,09:04:00,12068,-14,09:04:00,77,11:46:00,17,09:04:00
2020/07/09,12215,12191,12220,12173,down,09:05:00,12204.0,down,09:04:00,12178,down,09:04:00,12178,-14,09:04:00,60,10:36:00,44,09:09:00
2020/07/10,12213,12175,12181,12154,down,09:05:00,12172.0,down,09:04:00,12162,down,09:04:00,12162,55,09:19:00,175,13:38:00,11,09:05:00
2020/07/13,12148,12128,12139,12106,down,09:25:00,12128.0,up,09:04:00,12161,up,09:04:00,12161,-14,09:05:00,49,13:24:00,56,09:52:00
2020/07/14,12190,12143,12200,12164,up,09:10:00,12176.0,up,09:19:00,12203,up,09:23:00,12176.0,-28,09:28:00,48.0,10:01:00,57.0,10:37:00
