date,base_max,base_min,break_max,break_min,direction,break_time,key_point,enter_time,bonus,bonus_time,max_bonus,max_bonus_time,max_lose,max_lose_time
2019/06/03,10437,10422,10434,10373,down,09:05:00,10393,09:06:00,26,09:15:00,27,09:15:00,61,11:25:00
2019/06/04,10480,10454,10463,10438,down,09:40:00,10446,09:42:00,26,10:04:00,45,10:46:00,8,09:51:00
2019/06/05,10503,10485,10507,10483,down,09:10:00,10491,09:14:00,26,09:38:00,39,11:30:00,9,09:16:00
2019/06/06,10437,10372,10373,10353,down,10:00:00,10359,10:01:00,-26,10:09:00,,,46,10:35:00
2019/06/10,10485,10465,10493,10474,up,09:00:00,10487,09:01:00,-26,09:15:00,56,11:06:00,45,09:19:00
2019/06/11,10562,10540,10567,10552,up,09:20:00,10562,13:45:00,,,,,,
2019/06/12,10589,10574,10598,10581,up,09:15:00,10593,09:16:00,-26,09:39:00,12,09:25:00,29,09:40:00
2019/06/13,10564,10551,10567,10535,up,09:05:00,10557,09:46:00,-26,10:01:00,8,09:46:00,60,10:16:00
2019/06/14,10547,10532,10539,10524,down,09:00:00,10529,09:02:00,-26,10:30:00,13,09:02:00,29,10:31:00
2019/06/17,10493,10470,10486,10462,down,09:10:00,10470,09:13:00,-26,09:21:00,3,09:13:00,95,09:46:00
2019/06/18,10552,10534,10559,10549,up,09:00:00,10556,09:01:00,-26,09:52:00,20,09:04:00,30,09:52:00
2019/06/19,10689,10667,10693,10673,up,09:15:00,10687,09:16:00,26,09:33:00,40,09:36:00,10,09:19:00
2019/06/20,10581,10567,10583,10571,up,09:55:00,10579,09:57:00,26,11:26:00,26,11:26:00,3,10:07:00
2019/06/21,10640,10622,10628,10608,down,09:15:00,10614,09:16:00,15,11:30:00,19,11:28:00,18,09:35:00
2019/06/24,10610,10590,10596,10572,down,09:05:00,10580,09:06:00,26,09:22:00,27,09:22:00,67,10:52:00
2019/06/25,10623,10608,10612,10598,down,09:20:00,10602,09:21:00,26,10:31:00,71,11:06:00,16,09:33:00
2019/06/26,10538,10518,10523,10510,down,09:30:00,10514,09:31:00,1,11:30:00,12,09:47:00,19,10:38:00
2019/06/27,10555,10532,10575,10545,up,09:05:00,10565,09:06:00,26,09:15:00,74,11:30:00,3,09:06:00
2019/06/28,10623,10607,10613,10593,down,09:20:00,10599,09:21:00,26,09:46:00,40,10:40:00,7,09:29:00
2019/07/01,10729,10693,10747,10722,up,09:10:00,10739,13:45:00,,,,,,
2019/07/02,10754,10732,10758,10750,up,09:40:00,10756,09:41:00,-4,11:30:00,10,09:46:00,12,11:13:00
2019/07/03,10741,10202,-1,-1,down,,-1,,,,,,,
2019/07/04,10698,10686,10705,10689,up,09:10:00,10700,09:11:00,26,09:36:00,29,09:37:00,23,10:49:00
2019/07/05,10726,10707,10749,10724,up,09:05:00,10741,09:06:00,-26,09:19:00,6,09:06:00,59,09:59:00
2019/07/08,10658,10630,10683,10648,up,09:05:00,10672,10:18:00,-26,10:49:00,7,10:42:00,37,10:55:00
2019/07/09,10699,10673,10682,10663,down,09:05:00,10669,09:06:00,26,09:29:00,38,11:28:00,,
2019/07/10,10724,10697,10705,10691,down,10:00:00,10695,10:01:00,-26,10:45:00,6,10:01:00,42,11:14:00
2019/07/11,10809,10791,10802,10786,down,09:05:00,10791,09:06:00,-26,09:53:00,19,09:18:00,41,11:06:00
2019/07/12,10812,10788,10815,10798,up,09:25:00,10810,09:31:00,1,11:30:00,20,10:10:00,7,10:46:00
2019/07/15,10817,10800,10804,10783,down,09:20:00,10790,09:57:00,-26,10:21:00,11,09:57:00,68,11:24:00
2019/07/16,10872,10853,10880,10868,up,09:15:00,10876,09:16:00,10,11:30:00,15,09:43:00,15,09:19:00
2019/07/17,10848,10832,10846,10823,down,09:05:00,10830,09:17:00,7,11:30:00,25,11:09:00,24,10:00:00
2019/07/18,10639,10623,10648,10634,up,09:00:00,10644,09:09:00,26,09:32:00,32,09:35:00,4,09:13:00
2019/07/19,10767,10751,10773,10756,up,09:05:00,10768,09:09:00,5,11:30:00,24,10:11:00,8,09:18:00
2019/07/22,10757,10729,10772,10751,up,09:05:00,10765,09:08:00,26,10:30:00,33,11:28:00,2,09:34:00
2019/07/23,10830,10818,10827,10806,down,09:20:00,10813,09:22:00,26,10:47:00,28,10:47:00,23,10:00:00
2019/07/24,10821,10813,10828,10814,up,09:00:00,10824,09:07:00,-26,10:21:00,7,09:14:00,26,10:21:00
2019/07/25,10831,10819,10821,10812,down,09:00:00,10815,09:01:00,26,09:06:00,46,09:06:00,9,09:02:00
2019/07/26,10791,10774,10780,10770,down,09:20:00,10773,09:21:00,-17,11:30:00,8,09:21:00,22,10:17:00
2019/07/29,10781,10746,10792,10771,up,11:50:00,10785,11:55:00,-1,11:55:00,2,11:55:00,2,11:55:00
2019/07/30,10833,10817,10819,10808,down,09:30:00,10811,09:31:00,26,09:50:00,55,09:56:00,6,09:33:00
2019/07/31,10731,10706,10734,10723,up,09:05:00,10731,09:06:00,-26,10:06:00,8,09:43:00,57,10:31:00
2019/08/01,10651,10627,10660,10644,up,09:00:00,10655,09:01:00,26,09:30:00,42,10:06:00,32,11:03:00
2019/08/02,10535,10509,10532,10508,down,09:10:00,10516,09:11:00,26,09:16:00,75,10:36:00,11,09:28:00
2019/08/05,10435,10414,10456,10430,up,09:05:00,10448,09:06:00,-26,09:19:00,12,09:07:00,89,11:30:00
2019/08/06,10155,10095,10175,10149,up,09:05:00,10167,09:06:00,26,09:18:00,177,11:23:00,21,09:12:00
2019/08/07,10352,10325,10375,10347,up,09:05:00,10366,09:06:00,-26,09:12:00,9,09:06:00,65,10:43:00
2019/08/08,10376,10342,10392,10366,up,09:20:00,10384,13:45:00,,,,,,
2019/08/12,10470,10380,10476,10462,up,10:25:00,10472,10:26:00,-26,11:11:00,5,10:27:00,31,11:16:00
2019/08/13,10397,10381,10398,10367,down,09:10:00,10377,09:12:00,26,09:58:00,58,10:05:00,17,09:21:00
2019/08/14,10463,10446,10480,10458,up,09:05:00,10473,09:06:00,-26,10:33:00,19,09:16:00,27,10:33:00
2019/08/15,10298,10242,10323,10292,up,09:25:00,10313,09:26:00,-26,09:31:00,22,09:56:00,31,09:31:00
2019/08/16,10317,10291,10340,10312,up,10:10:00,10331,10:12:00,26,10:49:00,69,11:26:00,,
2019/08/19,10444,10419,10449,10433,up,09:40:00,10444,09:44:00,26,10:42:00,45,11:04:00,15,09:47:00
2019/08/20,10491,10478,10499,10485,up,09:05:00,10495,09:18:00,26,10:38:00,35,11:11:00,10,09:37:00
2019/08/21,10524,10505,10527,10514,up,09:10:00,10523,09:25:00,9,11:30:00,19,10:17:00,9,09:56:00
2019/08/22,10545,10530,10557,10539,up,09:10:00,10551,09:11:00,-26,09:55:00,13,09:34:00,87,11:13:00
2019/08/23,10490,10476,10480,10469,down,09:30:00,10472,09:31:00,-26,10:58:00,12,09:35:00,41,11:11:00
2019/08/26,10353,10321,10327,10306,down,10:10:00,10313,10:11:00,-26,10:40:00,19,10:20:00,54,10:50:00
