date,base_max,base_min,break_max,break_min,break_last,direction,key_point,enter_time,break_time,pre_enter_time,pre_enter_direction,pre_enter_point,bonus,bonus_time,max_bonus,max_bonus_time,max_lose,max_lose_time
2019/04/01,10695,10674,10710,10686,10708,up,10702,09:06:00,09:05:00,09:04:00,up,10696,-26,09:14:00,13,09:06:00,39,10:09:00
2019/04/02,10689,10673,10698,10677,10694,up,10691,09:06:00,09:05:00,09:04:00,up,10690,-1,11:30:00,13,09:17:00,23,11:01:00
2019/04/03,10713,10681,10684,10671,10674,down,10675,,10:05:00,09:04:00,up,10714,,,,,,
2019/04/08,10781,10747,10785,10770,10784,up,10780,09:47:00,09:45:00,09:34:00,up,10782,4,11:30:00,15,11:15:00,22,10:31:00
2019/04/09,10802,10792,10796,10783,10789,down,10787,09:06:00,09:05:00,09:04:00,down,10791,-26,10:52:00,5,09:17:00,51,11:03:00
2019/04/10,10830,10818,10837,10824,10837,up,10833,09:21:00,09:20:00,09:14:00,up,10831,-3,11:30:00,9,09:32:00,21,09:49:00
2019/04/11,10874,10842,10879,10865,10876,up,10875,09:31:00,09:30:00,09:29:00,up,10875,-26,09:46:00,10,09:32:00,92,11:30:00
2019/04/12,10831,10811,10820,10805,10805,down,10810,09:27:00,09:25:00,09:25:00,down,10810,26,11:17:00,28,11:17:00,19,10:05:00
2019/04/15,10882,10863,10864,10843,10846,down,10850,09:16:00,09:15:00,09:09:00,down,10862,-26,09:43:00,6,09:16:00,45,10:52:00
2019/04/16,10878,10863,10883,10867,10883,up,10878,09:38:00,09:00:00,08:59:00,up,10879,26,11:19:00,37,11:22:00,12,10:08:00
2019/04/17,10966,10948,10983,10961,10972,up,10976,09:06:00,09:05:00,09:04:00,up,10967,13,11:30:00,17,11:29:00,14,09:31:00
2019/04/18,11024,11008,11035,11011,11035,up,11027,09:07:00,09:05:00,09:04:00,up,11025,-26,09:51:00,12,09:07:00,54,10:15:00
2019/04/19,11031,11017,11021,11006,11009,down,11011,,10:00:00,09:20:00,up,11032,,,,,,
2019/04/22,11030,11006,11016,10998,10999,down,11004,09:31:00,09:30:00,09:30:00,down,11005,26,11:09:00,35,11:26:00,11,09:56:00
2019/04/23,10998,10978,10993,10976,10976,down,10981,09:07:00,09:05:00,09:05:00,down,10977,26,09:13:00,47,09:22:00,12,09:56:00
2019/04/24,11057,11039,11042,11028,11030,down,11032,09:11:00,09:10:00,09:04:00,down,11038,26,10:19:00,38,11:29:00,15,09:18:00
2019/04/25,10995,10982,11004,10994,11000,up,11001,09:26:00,09:25:00,09:14:00,up,10996,26,09:58:00,40,10:24:00,14,09:28:00
2019/04/26,10972,10952,10965,10932,10933,down,10943,09:18:00,09:05:00,09:04:00,down,10951,26,09:41:00,43,11:22:00,7,09:26:00
2019/04/29,10960,10945,10975,10956,10971,up,10969,09:22:00,09:20:00,09:19:00,up,10961,-26,09:37:00,6,09:22:00,67,09:55:00
2019/04/30,10918,10883,10920,10911,10919,up,10917,09:17:00,09:15:00,09:14:00,up,10919,-26,09:47:00,25,10:49:00,32,09:54:00
