date,base_max,base_min,break_max,break_min,break_last,direction,break_time,pre_enter_time,pre_enter_direction,pre_enter_point
2019/05/02,10949,10933,10973,10944,10972,up,09:00:00,08:58:00,up,10958
2019/05/03,10994,10975,11003,10976,11002,up,09:00:00,09:00:00,up,11003
2019/05/06,10980,10941,10951,10924,10925,down,09:00:00,08:58:00,down,10932
2019/05/07,10932,10900,10942,10929,10940,up,09:40:00,09:37:00,up,10941
2019/05/08,10905,10841,10906,10885,10906,up,09:30:00,09:41:00,up,10914
2019/05/09,10854,10809,10812,10781,10783,down,09:55:00,09:06:00,up,10863
2019/05/10,10766,10731,10783,10762,10775,up,09:00:00,08:56:00,up,10775
2019/05/13,10708,10673,10681,10653,10661,down,09:25:00,09:23:00,down,10664
2019/05/14,10490,10424,10472,10399,10407,down,09:05:00,09:03:00,down,10415
2019/05/15,10544,10513,10554,10532,10552,up,09:05:00,09:04:00,up,10553
2019/05/16,10549,10532,10553,10524,10526,down,09:05:00,09:06:00,down,10523
2019/05/17,10565,10546,10551,10530,10532,down,09:20:00,09:12:00,down,10537
2019/05/20,10472,10432,10479,10444,10479,up,09:15:00,09:16:00,up,10481
2019/05/21,10412,10389,10420,10378,10418,up,09:05:00,09:02:00,down,10380
2019/05/22,10487,10470,10477,10453,10464,down,09:00:00,08:57:00,down,10461
2019/05/23,10424,10381,10391,10342,10346,down,09:05:00,09:01:00,down,10372
2019/05/24,10356,10315,10361,10341,10358,up,09:20:00,09:31:00,up,10365
2019/05/27,10390,10347,10358,10343,10345,down,09:15:00,09:17:00,down,10338
2019/05/28,10374,10357,10364,10351,10351,down,09:00:00,09:01:00,down,10348
2019/05/29,10246,10218,10254,10228,10253,up,09:05:00,09:06:00,up,10255
2019/05/30,10312,10279,10329,10300,10321,up,09:10:00,09:08:00,up,10321
2019/05/31,10352,10330,10358,10342,10355,up,09:05:00,09:07:00,up,10361
