      date            diff        maxBonus    maxBonusTime         maxLoss     maxLossTime

2019/01/02               0               0        00:00:00           -9743        09:00:00
2019/01/03             -48              55        09:25:00             -59        10:10:00
2019/01/04             -73              62        09:35:00             -43        11:30:00
2019/01/07             174              39        10:50:00             -51        09:40:00
2019/01/08              37              11        09:00:00             -68        09:20:00
2019/01/09              47             139        10:45:00              -6        09:05:00
2019/01/10               2               3        10:10:00             -37        09:20:00
2019/01/11              66              43        10:10:00             -36        09:35:00
2019/01/14             -12              78        11:25:00             -18        09:15:00
2019/01/15              52              74        10:20:00             -28        09:05:00
2019/01/16             -12              26        09:40:00             -23        10:35:00
2019/01/17              -7              56        09:50:00             -57        09:10:00
2019/01/18              46              21        11:20:00             -55        09:10:00
2019/01/21              65              34        10:10:00             -29        09:25:00
2019/01/22             -25              10        09:00:00             -27        09:30:00
2019/01/23             -17              22        09:05:00             -30        09:50:00
2019/01/24              15              51        09:10:00             -13        10:35:00
2019/01/25              65              59        10:35:00             -17        09:30:00
2019/01/28              32              18        10:10:00             -21        09:30:00
2019/01/29             -53              52        10:45:00              -4        09:35:00
2019/01/30               2              31        11:25:00             -29        09:30:00
2019/02/11              84              57        09:10:00             -44        09:55:00
2019/02/12              50              36        11:30:00             -20        09:05:00
2019/02/13              41               0        00:00:00             -70        10:25:00
2019/02/14             -40              10        09:00:00             -80        09:50:00
2019/02/15             -40              18        10:45:00             -76        09:35:00
2019/02/18              69              50        10:35:00             -13        09:05:00
2019/02/19             -12               8        09:00:00             -32        10:00:00
2019/02/20              41              79        09:50:00               0        00:00:00
2019/02/21              -1              23        09:35:00             -29        11:05:00
2019/02/22             -52              27        09:45:00             -16        09:05:00
2019/02/25              40              28        09:50:00             -26        10:50:00
2019/02/26              13              13        09:20:00             -45        10:50:00
2019/02/27              20               9        09:00:00             -50        09:25:00
2019/03/04              28               0        00:00:00            -114        10:45:00
2019/03/05             -51              10        09:50:00             -46        11:05:00
2019/03/06               9              50        10:40:00               0        00:00:00
2019/03/07              -7              25        10:00:00             -20        09:15:00
2019/03/08             -32              68        09:50:00             -14        10:50:00
2019/03/11             -30               1        09:00:00             -55        09:35:00
2019/03/12              72              84        11:10:00               0        00:00:00
2019/03/13             -23              20        10:35:00             -22        11:30:00
2019/03/14              25               0        00:00:00             -56        11:30:00
2019/03/15              17              75        11:05:00              -4        09:00:00
2019/03/18              23              37        11:00:00             -17        09:20:00
2019/03/19               6              22        11:30:00             -22        10:00:00
2019/03/20              -8               0        00:00:00             -40        11:05:00
2019/03/21              -7               3        09:35:00             -49        10:50:00
