      date    baseMaxValue    baseMinValue    baseDiff    breakMaxValue    breakMinValue    breakTime    breakDiff    keyPoint    direction    maxBonus    maxBonusTime    result    resultTime

2019/02/11           10035           10009          26            10067            10031     09:10:00           36       10055           up          10        09:15:00       -26      09:15:00
2019/02/12           10052           10038          14            10040            10029     09:05:00           11       10032         down           0        00:00:00       -26      09:35:00
2019/02/13           10128           10111          17            10119            10099     09:10:00           20       10105         down          50        10:25:00        25      09:30:00
2019/02/14           10055           10034          21            10077            10054     09:05:00           23       10069           up          54        09:50:00        25      09:15:00
2019/02/15           10075           10037          38            10079            10065     09:05:00           14       10074           up          41        09:35:00        25      09:30:00
2019/02/18           10119           10099          20            10125            10098     09:05:00           27       10116           up          45        10:35:00        25      09:35:00
2019/02/19           10134           10104          30            10140            10124     09:05:00           16       10134           up          20        10:00:00         6      11:30:00
2019/02/20           10200           10177          23            10212            10198     09:05:00           14       10207           up          54        09:50:00        25      09:20:00
2019/02/21           10269           10245          24            10252            10235     09:30:00           17       10240         down           8        09:35:00       -26      10:35:00
2019/02/22           10284           10265          19            10283            10260     09:20:00           23       10267         down          22        09:45:00       -10      11:30:00
2019/02/25           10353           10333          20            10366            10345     09:35:00           21       10359           up          19        09:50:00       -26      10:00:00
2019/02/26           10388           10369          19            10372            10356     09:35:00           16       10361         down          25        10:50:00        25      10:50:00
2019/02/27           10384           10371          13            10377            10365     09:10:00           12       10369         down          44        09:25:00        25      09:20:00


total:	67

