Date,Time,Open,High,Low,Close,Volume
2019/04/26,09:00:00,10962,10972,10952,10963,11481
2019/04/26,09:15:00,10963,10965,10919,10934,17373
2019/04/26,09:30:00,10934,10950,10931,10942,9041
2019/04/26,09:45:00,10942,10949,10915,10918,12670
2019/04/26,10:00:00,10917,10930,10913,10928,6375
2019/04/26,10:15:00,10928,10935,10910,10932,8272
2019/04/26,10:30:00,10932,10945,10929,10939,5108
2019/04/26,10:45:00,10938,10945,10928,10930,4016
2019/04/26,11:00:00,10929,10934,10923,10924,2996
2019/04/26,11:15:00,10924,10924,10908,10914,5975
2019/04/26,11:30:00,10915,10915,10900,10906,7361
2019/04/26,11:45:00,10907,10915,10907,10914,2001
2019/04/26,12:00:00,10914,10915,10905,10907,2250
2019/04/26,12:15:00,10906,10913,10905,10906,1956
2019/04/26,12:30:00,10906,10918,10905,10914,2242
2019/04/26,12:45:00,10914,10915,10910,10914,1351
2019/04/26,13:00:00,10914,10919,10913,10917,1760
2019/04/26,13:15:00,10918,10921,10908,10916,2656
2019/04/26,13:30:00,10916,10935,10915,10929,6455
2019/04/26,13:45:00,10929,10937,10929,10933,6388
