Date,Time,Open,High,Low,Close,Volume
2019/12/16,08:46:00,11932,11935,11925,11929,1473
2019/12/16,08:47:00,11928,11932,11926,11930,563
2019/12/16,08:48:00,11930,11942,11929,11937,807
2019/12/16,08:49:00,11937,11940,11936,11939,314
2019/12/16,08:50:00,11940,11942,11938,11938,388
2019/12/16,08:51:00,11940,11942,11935,11937,535
2019/12/16,08:52:00,11938,11938,11933,11935,511
2019/12/16,08:53:00,11936,11937,11931,11934,334
2019/12/16,08:54:00,11934,11936,11933,11935,143
2019/12/16,08:55:00,11935,11938,11934,11938,123
2019/12/16,08:56:00,11937,11939,11933,11936,239
2019/12/16,08:57:00,11937,11940,11936,11940,206
2019/12/16,08:58:00,11939,11944,11939,11941,346
2019/12/16,08:59:00,11941,11943,11938,11941,255
2019/12/16,09:00:00,11941,11942,11934,11939,454
2019/12/16,09:01:00,11939,11941,11928,11936,1173
2019/12/16,09:02:00,11936,11940,11933,11936,390
2019/12/16,09:03:00,11935,11936,11928,11929,554
2019/12/16,09:04:00,11928,11929,11922,11929,1034
2019/12/16,09:05:00,11929,11935,11927,11934,396
2019/12/16,09:06:00,11934,11941,11932,11939,502
2019/12/16,09:07:00,11939,11940,11930,11933,394
2019/12/16,09:08:00,11933,11934,11928,11931,349
2019/12/16,09:09:00,11932,11932,11928,11929,270
2019/12/16,09:10:00,11929,11934,11927,11934,280
2019/12/16,09:11:00,11935,11938,11933,11937,323
2019/12/16,09:12:00,11938,11941,11935,11938,537
2019/12/16,09:13:00,11938,11940,11934,11939,286
2019/12/16,09:14:00,11940,11946,11938,11946,837
2019/12/16,09:15:00,11945,11949,11942,11943,616
2019/12/16,09:16:00,11943,11947,11941,11943,420
2019/12/16,09:17:00,11942,11943,11938,11941,409
2019/12/16,09:18:00,11942,11943,11941,11943,144
2019/12/16,09:19:00,11943,11944,11941,11944,167
2019/12/16,09:20:00,11944,11948,11943,11948,182
2019/12/16,09:21:00,11948,11948,11943,11944,201
2019/12/16,09:22:00,11945,11947,11942,11943,230
2019/12/16,09:23:00,11942,11947,11941,11947,229
2019/12/16,09:24:00,11947,11948,11945,11946,206
2019/12/16,09:25:00,11946,11948,11945,11946,107
2019/12/16,09:26:00,11945,11946,11942,11944,222
2019/12/16,09:27:00,11944,11949,11942,11949,313
2019/12/16,09:28:00,11949,11955,11949,11954,766
2019/12/16,09:29:00,11955,11955,11949,11951,371
2019/12/16,09:30:00,11951,11954,11949,11953,356
2019/12/16,09:31:00,11953,11956,11952,11953,408
2019/12/16,09:32:00,11953,11955,11949,11952,404
2019/12/16,09:33:00,11951,11954,11950,11954,211
2019/12/16,09:34:00,11954,11956,11949,11953,379
2019/12/16,09:35:00,11953,11958,11950,11951,497
2019/12/16,09:36:00,11950,11951,11945,11946,475
2019/12/16,09:37:00,11946,11950,11945,11949,545
2019/12/16,09:38:00,11950,11950,11946,11946,168
2019/12/16,09:39:00,11947,11954,11946,11953,374
2019/12/16,09:40:00,11952,11958,11952,11956,434
2019/12/16,09:41:00,11958,11960,11956,11958,499
2019/12/16,09:42:00,11958,11964,11958,11964,735
2019/12/16,09:43:00,11964,11965,11960,11961,571
2019/12/16,09:44:00,11960,11968,11959,11966,932
