Date,Time,Open,High,Low,Close,Volume
2020/10/08,08:50:00,12831,12840,12816,12835,4007
2020/10/08,08:55:00,12836,12842,12832,12836,1020
2020/10/08,09:00:00,12835,12838,12828,12834,1026
2020/10/08,09:05:00,12834,12835,12790,12803,6791
2020/10/08,09:10:00,12802,12824,12800,12816,4014
2020/10/08,09:15:00,12816,12816,12784,12787,4111
2020/10/08,09:20:00,12787,12794,12772,12794,5157
2020/10/08,09:25:00,12794,12807,12780,12781,3429
2020/10/08,09:30:00,12781,12802,12773,12799,2871
2020/10/08,09:35:00,12800,12811,12783,12810,2839
2020/10/08,09:40:00,12810,12826,12804,12812,3223
2020/10/08,09:45:00,12811,12812,12788,12790,2213
2020/10/08,09:50:00,12790,12805,12785,12793,1982
2020/10/08,09:55:00,12792,12818,12780,12812,2721
2020/10/08,10:00:00,12812,12829,12806,12816,2912
2020/10/08,10:05:00,12816,12831,12814,12825,2127
2020/10/08,10:10:00,12825,12827,12815,12825,1026
2020/10/08,10:15:00,12825,12830,12817,12818,1170
2020/10/08,10:20:00,12817,12824,12811,12817,1050
2020/10/08,10:25:00,12817,12850,12813,12846,4336
2020/10/08,10:30:00,12845,12847,12827,12841,2153
2020/10/08,10:35:00,12840,12841,12830,12835,1171
2020/10/08,10:40:00,12836,12844,12830,12840,1024
2020/10/08,10:45:00,12839,12851,12837,12848,1662
2020/10/08,10:50:00,12848,12856,12843,12849,2160
2020/10/08,10:55:00,12850,12853,12842,12850,1241
2020/10/08,11:00:00,12850,12854,12843,12843,855
2020/10/08,11:05:00,12844,12848,12837,12841,1231
2020/10/08,11:10:00,12841,12845,12837,12843,496
2020/10/08,11:15:00,12844,12852,12843,12850,565
2020/10/08,11:20:00,12849,12857,12847,12851,1378
2020/10/08,11:25:00,12852,12858,12847,12857,708
2020/10/08,11:30:00,12856,12862,12853,12854,1124
2020/10/08,11:35:00,12854,12856,12851,12854,385
2020/10/08,11:40:00,12855,12861,12852,12858,590
2020/10/08,11:45:00,12858,12866,12855,12865,1171
2020/10/08,11:50:00,12866,12868,12862,12865,1027
2020/10/08,11:55:00,12865,12866,12862,12865,355
2020/10/08,12:00:00,12864,12864,12855,12856,694
2020/10/08,12:05:00,12857,12864,12856,12862,479
2020/10/08,12:10:00,12863,12866,12858,12861,442
2020/10/08,12:15:00,12861,12862,12856,12856,409
2020/10/08,12:20:00,12857,12857,12844,12850,1267
2020/10/08,12:25:00,12850,12852,12843,12845,610
2020/10/08,12:30:00,12845,12850,12845,12847,426
2020/10/08,12:35:00,12847,12848,12839,12844,746
2020/10/08,12:40:00,12844,12850,12843,12845,421
2020/10/08,12:45:00,12845,12845,12825,12828,1558
2020/10/08,12:50:00,12827,12832,12825,12830,1048
2020/10/08,12:55:00,12831,12839,12828,12836,1012
2020/10/08,13:00:00,12836,12840,12832,12833,457
2020/10/08,13:05:00,12833,12844,12831,12841,815
2020/10/08,13:10:00,12841,12848,12839,12848,737
2020/10/08,13:15:00,12848,12856,12848,12853,976
2020/10/08,13:20:00,12852,12856,12851,12853,576
2020/10/08,13:25:00,12854,12856,12852,12854,523
2020/10/08,13:30:00,12854,12861,12848,12859,1949
2020/10/08,13:35:00,12859,12865,12858,12864,1522
2020/10/08,13:40:00,12864,12871,12863,12869,1690
2020/10/08,13:45:00,12869,12876,12868,12873,2731
