Date,Time,Open,High,Low,Close,Volume
2003/02/26,08:50:00,4962,4962,4947,4956,846
2003/02/26,08:55:00,4955,4957,4948,4950,409
2003/02/26,09:00:00,4948,4952,4947,4951,261
2003/02/26,09:05:00,4951,4956,4942,4951,455
2003/02/26,09:10:00,4951,4952,4933,4938,430
2003/02/26,09:15:00,4938,4947,4935,4941,398
2003/02/26,09:20:00,4938,4940,4924,4928,404
2003/02/26,09:25:00,4928,4940,4927,4938,595
2003/02/26,09:30:00,4936,4942,4929,4941,434
2003/02/26,09:35:00,4941,4956,4940,4954,640
2003/02/26,09:40:00,4952,4957,4952,4955,316
2003/02/26,09:45:00,4953,4953,4947,4948,184
2003/02/26,09:50:00,4948,4959,4947,4958,309
2003/02/26,09:55:00,4958,4959,4942,4947,307
2003/02/26,10:00:00,4946,4947,4942,4946,183
2003/02/26,10:05:00,4945,4951,4944,4947,244
2003/02/26,10:10:00,4948,4959,4945,4959,204
2003/02/26,10:15:00,4959,4960,4949,4951,165
2003/02/26,10:20:00,4951,4952,4945,4945,155
2003/02/26,10:25:00,4945,4948,4943,4945,151
2003/02/26,10:30:00,4946,4948,4938,4943,198
2003/02/26,10:35:00,4944,4949,4941,4942,96
2003/02/26,10:40:00,4943,4947,4937,4937,118
2003/02/26,10:45:00,4939,4946,4934,4942,204
2003/02/26,10:50:00,4943,4947,4942,4944,184
2003/02/26,10:55:00,4944,4945,4937,4939,118
2003/02/26,11:00:00,4939,4944,4937,4944,112
2003/02/26,11:05:00,4944,4947,4942,4944,95
2003/02/26,11:10:00,4943,4947,4942,4945,44
2003/02/26,11:15:00,4945,4946,4941,4942,81
2003/02/26,11:20:00,4942,4944,4940,4940,63
2003/02/26,11:25:00,4940,4940,4935,4938,110
2003/02/26,11:30:00,4937,4938,4932,4934,151
2003/02/26,11:35:00,4933,4934,4927,4931,308
2003/02/26,11:40:00,4930,4940,4929,4932,355
2003/02/26,11:45:00,4932,4940,4932,4939,208
2003/02/26,11:50:00,4938,4942,4937,4940,181
2003/02/26,11:55:00,4939,4946,4938,4945,87
2003/02/26,12:00:00,4945,4949,4944,4948,157
2003/02/26,12:05:00,4948,4955,4948,4949,296
2003/02/26,12:10:00,4949,4950,4945,4947,94
2003/02/26,12:15:00,4947,4957,4947,4957,192
2003/02/26,12:20:00,4957,4957,4952,4952,129
2003/02/26,12:25:00,4952,4954,4949,4951,95
2003/02/26,12:30:00,4952,4955,4951,4952,88
2003/02/26,12:35:00,4952,4952,4949,4949,110
2003/02/26,12:40:00,4949,4967,4949,4964,424
2003/02/26,12:45:00,4964,4967,4959,4961,396
2003/02/26,12:50:00,4960,4961,4957,4959,204
2003/02/26,12:55:00,4958,4960,4950,4951,136
2003/02/26,13:00:00,4952,4952,4948,4948,104
2003/02/26,13:05:00,4950,4955,4947,4952,132
2003/02/26,13:10:00,4952,4953,4949,4949,119
2003/02/26,13:15:00,4949,4950,4942,4946,204
2003/02/26,13:20:00,4946,4950,4944,4949,150
2003/02/26,13:25:00,4948,4959,4947,4958,240
2003/02/26,13:30:00,4958,4958,4949,4949,209
2003/02/26,13:35:00,4949,4950,4927,4930,860
2003/02/26,13:40:00,4930,4932,4927,4931,578
2003/02/26,13:45:00,4931,4933,4931,4933,271
